job_role,city,education,college_tier,industry,company_size,gender,years_experience,age,performance_rating,num_skills,base_salary,bonus,total_ctc
Business Analyst,Bangalore,MTech,Tier 3,Product Based,MNC,Male,4.3,27.0,3.66,4,2741239.0,648217.0,3389456.0
Frontend Developer,Bangalore,BTech,Tier 2,FinTech,MNC,Male,10.6,35.0,3.5,6,3440016.0,755362.0,11087115.342988241
Software Engineer,Ahmedabad,MBA,Tier 3,Product Based,Startup,Male,4.4,28.0,3.61,3,1933149.0,102980.0,2036129.0
Backend Developer,Mumbai,MTech,Tier 1,E-Commerce,Startup,Male,3.2,29.0,3.14,7,2818909.0,182794.0,3001703.0
Backend Developer,Kolkata,BTech,Tier 1,EdTech,Mid-size,Male,3.4,25.0,3.91,3,1644130.0,154154.0,1798284.0
HR Manager,Hyderabad,MTech,Tier 3,IT Services,Startup,Male,5.3,27.0,4.14,9,1868257.0,444858.0,2313115.0
HR Manager,Ahmedabad,,Tier 3,IT Services,MNC,Male,1.1,26.0,2.05,2,1254649.0,223136.0,1477785.0
HR Manager,Pune,BTech,Tier 3,EdTech,Mid-size,Female,3.1,27.0,3.83,5,1497485.0,328152.0,1825637.0
Business Analyst,Jaipur,MBA,Tier 2,Product Based,MNC,Female,0.6,18.0,3.3,3,1862899.0,228857.0,2091756.0
Data Analyst,Chennai,BTech,Tier 1,EdTech,Startup,Male,11.7,33.0,3.38,4,1868072.0,413051.0,2281123.0
Financial Analyst,Remote,MBA,Tier 2,FinTech,Startup,Male,4.9,32.0,3.23,3,1960843.0,228739.0,2189582.0
Frontend Developer,Bangalore,MTech,Tier 3,FinTech,Startup,Female,1.0,21.0,2.53,2,1760438.0,105190.0,1865628.0
HR Manager,Remote,,Tier 3,Consulting,MNC,Female,0.0,25.0,3.62,4,1382711.0,185887.0,1568598.0
Software Engineer,Mumbai,MBA,Tier 3,Product Based,MNC,Female,1.5,22.0,2.06,5,2951483.0,197047.0,3148530.0
Frontend Developer,Ahmedabad,BTech,Tier 3,EdTech,Mid-size,Female,7.3,30.0,2.25,4,1350114.0,107662.0,1457776.0
Marketing Manager,Delhi NCR,MTech,Tier 3,Manufacturing,MNC,Male,3.8,28.0,3.81,9,2277690.0,166004.0,2443694.0
Marketing Manager,Remote,MTech,Tier 1,FinTech,Startup,Male,1.0,25.0,,3,2185571.0,491710.0,2677280.0
Product Manager,Kolkata,,Tier 2,Manufacturing,Startup,Male,0.9,23.0,,6,1656687.0,202472.0,1859159.0
Software Engineer,Remote,BTech,Tier 1,Manufacturing,Startup,Male,7.0,30.0,4.16,8,2067740.0,449441.0,2517180.0
Business Analyst,Jaipur,MBA,Tier 3,E-Commerce,Startup,Female,8.3,32.0,3.23,5,1796517.0,177275.0,1973792.0
Data Analyst,Remote,BTech,Tier 3,EdTech,MNC,Male,1.4,20.0,2.53,9,1585099.0,321842.0,1906941.0
HR Manager,Hyderabad,,Tier 2,Manufacturing,Mid-size,Male,5.0,28.0,4.08,5,1548399.0,132034.0,1680433.0
Marketing Manager,Bangalore,BTech,Tier 3,EdTech,MNC,Male,1.7,25.0,3.0,2,1548807.0,115283.0,1664090.0
Software Engineer,Delhi NCR,BTech,Tier 1,EdTech,MNC,Male,7.4,34.0,3.48,3,3137156.0,164573.0,3301729.0
Software Engineer,Ahmedabad,BTech,Tier 3,Consulting,Mid-size,Male,4.3,28.0,1.9,9,1630988.0,266948.0,1897937.0
Frontend Developer,Kolkata,MTech,Tier 2,Manufacturing,Mid-size,Female,4.0,28.0,3.16,5,1597618.0,292166.0,1889784.0
Marketing Manager,Chennai,BTech,Tier 3,IT Services,MNC,Male,2.9,21.0,2.44,6,1650286.0,85256.0,1735542.0
Software Engineer,Pune,MTech,Tier 2,Consulting,MNC,Male,7.3,29.0,5.0,6,3121831.0,227187.0,3349017.0
AI Engineer,Chennai,BTech,Tier 2,Manufacturing,MNC,Male,0.9,24.0,2.51,2,2016527.0,445582.0,2462109.0
Marketing Manager,Chennai,MTech,Tier 3,E-Commerce,MNC,Female,9.9,33.0,3.26,3,2762743.0,420931.0,3183674.0
Business Analyst,Jaipur,BTech,Tier 2,EdTech,Startup,Male,0.0,23.0,4.24,4,1024283.0,217698.0,1241981.0
Chartered Accountant,Remote,MBA,Tier 3,Consulting,MNC,Male,6.5,30.0,3.01,3,2369289.0,484943.0,2854232.0
Frontend Developer,Pune,BTech,Tier 3,Product Based,Mid-size,Male,9.1,33.0,3.46,8,2406515.0,524936.0,2931450.0
Product Manager,Remote,MBA,Tier 3,Manufacturing,MNC,Male,3.5,28.0,4.7,1,2774832.0,376426.0,3151258.0
HR Manager,Remote,BTech,Tier 1,E-Commerce,Startup,Male,10.0,30.0,3.34,3,2278667.0,137889.0,2416555.0
Data Scientist,Pune,BTech,Tier 3,E-Commerce,MNC,Male,7.9,29.0,4.23,7,3092802.0,641687.0,3734490.0
Business Analyst,Mumbai,PhD,Tier 2,EdTech,MNC,Male,0.0,27.0,3.7,5,1783408.0,358539.0,2141948.0
HR Manager,Jaipur,MTech,Tier 3,Consulting,Startup,Female,5.8,24.0,3.33,4,1305646.0,232386.0,1538032.0
Data Scientist,Pune,MTech,Tier 2,FinTech,Mid-size,Male,0.0,24.0,3.84,11,2486743.0,178691.0,2665433.0
Data Scientist,Remote,BTech,Tier 3,Manufacturing,MNC,Male,4.1,24.0,5.0,10,1810903.0,135319.0,1946222.0
AI Engineer,Pune,MTech,Tier 3,FinTech,Mid-size,Male,1.1,25.0,3.1,5,2598066.0,144927.0,2742993.0
Financial Analyst,Kolkata,,Tier 3,E-Commerce,Mid-size,Male,4.8,31.0,,8,1966068.0,194379.0,2160448.0
Financial Analyst,Delhi NCR,BTech,Tier 1,Consulting,MNC,Male,0.0,26.0,2.24,4,1724132.0,148398.0,1872529.0
AI Engineer,Ahmedabad,BTech,Tier 2,E-Commerce,MNC,Male,3.9,25.0,2.63,3,2384903.0,527107.0,2912010.0
Product Manager,Bangalore,BTech,Tier 1,IT Services,MNC,Female,0.8,25.0,3.01,3,3335236.0,620451.0,3955687.0
Data Analyst,Kolkata,BTech,Tier 2,Product Based,Mid-size,Male,0.6,24.0,3.35,6,1470474.0,130437.0,1600911.0
Data Analyst,Hyderabad,BTech,Tier 1,EdTech,MNC,Female,5.9,29.0,2.96,6,2266681.0,257373.0,2524053.0
Chartered Accountant,Mumbai,MTech,Tier 3,EdTech,MNC,Female,10.7,35.0,2.66,10,3044860.0,437256.0,3482116.0
AI Engineer,Pune,MBA,Tier 1,IT Services,Startup,Male,3.0,24.0,2.33,1,2878047.0,378820.0,3256867.0
HR Manager,Pune,MTech,Tier 3,EdTech,Startup,Male,5.0,29.0,5.0,5,1604141.0,233575.0,1837716.0
HR Manager,Jaipur,BTech,Tier 2,Manufacturing,Mid-size,Male,6.3,31.0,2.96,4,1349026.0,177497.0,1526523.0
Product Manager,Kolkata,BTech,Tier 2,Manufacturing,Startup,Male,3.6,27.0,4.42,6,2042310.0,323426.0,2365737.0
Marketing Manager,Bangalore,BTech,Tier 3,E-Commerce,MNC,Male,1.2,23.0,4.62,4,2068739.0,326769.0,2395508.0
Data Scientist,Chennai,BTech,Tier 3,E-Commerce,Startup,Male,9.2,35.0,4.32,6,2343519.0,283330.0,2626849.0
Data Analyst,Jaipur,MBA,Tier 3,Product Based,MNC,Male,0.0,25.0,2.77,3,1487869.0,194234.0,1682103.0
AI Engineer,Remote,BTech,Tier 2,EdTech,MNC,Male,9.1,33.0,4.15,5,2594173.0,605616.0,3199789.0
DevOps Engineer,Kolkata,BTech,Tier 2,FinTech,Mid-size,Male,9.9,34.0,2.65,8,2527487.0,173893.0,2701380.0
HR Manager,Delhi NCR,BTech,Tier 2,EdTech,MNC,Male,5.1,27.0,3.13,3,1895519.0,420058.0,2315576.0
Business Analyst,Bangalore,BTech,Tier 2,IT Services,MNC,Male,3.1,22.0,,4,2164505.0,419103.0,2583608.0
Data Analyst,Mumbai,MBA,Tier 2,E-Commerce,Startup,Female,4.8,28.0,2.95,1,2128695.0,144605.0,2273300.0
Frontend Developer,Chennai,MTech,Tier 3,FinTech,Mid-size,Male,5.7,26.0,1.78,4,1993665.0,385980.0,2379646.0
Chartered Accountant,Ahmedabad,MBA,Tier 2,IT Services,Mid-size,Male,5.7,28.0,4.17,5,1736750.0,138817.0,1875567.0
Marketing Manager,Chennai,MTech,Tier 3,Consulting,MNC,Male,5.9,29.0,1.72,6,2361776.0,439812.0,2801588.0
HR Manager,Jaipur,MBA,Tier 2,EdTech,Mid-size,Male,7.8,33.0,3.45,4,1560624.0,96591.0,4379519.690651453
Marketing Manager,Pune,BTech,Tier 1,E-Commerce,Mid-size,Male,1.5,26.0,3.66,4,2036335.0,355093.0,2391427.0
AI Engineer,Bangalore,BTech,Tier 2,Product Based,Startup,Male,5.6,31.0,2.89,5,3365819.0,838864.0,4204683.0
AI Engineer,Delhi NCR,BTech,Tier 3,FinTech,MNC,Male,5.7,30.0,4.16,5,3773551.0,407810.0,4181361.0
Business Analyst,Kolkata,BTech,Tier 1,EdTech,MNC,Male,14.3,38.0,4.23,9,2405254.0,528951.0,2934205.0
DevOps Engineer,Ahmedabad,BTech,Tier 1,FinTech,Mid-size,Female,0.0,27.0,,7,2088126.0,451581.0,2539707.0
Data Analyst,Delhi NCR,,Tier 3,E-Commerce,Mid-size,Male,6.6,30.0,3.43,1,1693076.0,171561.0,1864637.0
Business Analyst,Kolkata,BTech,Tier 3,FinTech,MNC,Female,2.0,22.0,3.18,7,1396191.0,135578.0,1531769.0
AI Engineer,Bangalore,BTech,Tier 1,Product Based,Mid-size,Female,5.7,30.0,3.53,5,4144976.0,415260.0,4560236.0
Software Engineer,Hyderabad,,Tier 3,Manufacturing,Startup,Female,8.5,35.0,3.27,7,1658228.0,295198.0,1953426.0
Product Manager,Delhi NCR,MBA,Tier 1,EdTech,MNC,Female,4.8,29.0,3.08,6,4287585.0,426880.0,4714465.0
Business Analyst,Bangalore,,Tier 1,EdTech,Startup,Male,0.0,24.0,2.98,5,1498855.0,260508.0,1759363.0
Marketing Manager,Hyderabad,MBA,Tier 3,Manufacturing,Startup,Male,9.1,31.0,4.01,3,1882449.0,413645.0,2296094.0
